text,Office,Name,Department,Division,Final_Position,year,gender
record1,東京都庁,田中太郎,総務部,人事課,主事,1930,male
record2,東京都庁,山田花子,総務部,人事課,書記,1930,female
record3,東京都庁,佐藤一郎,建設部,土木課,技師,1930,male
record4,東京都庁,鈴木美子,福祉部,保健課,看護婦長,1930,female
record5,東京都庁,高橋次郎,財務部,経理課,課長,1932,male
record6,東京都庁,渡辺良子,教育部,学務課,雇員,1932,female
record7,東京都庁,伊藤三郎,総務部,文書課,主事,1935,male
record8,東京都庁,中村恵子,福祉部,児童課,保母長,1935,female
record9,東京都庁,小林四郎,建設部,都市課,技師,1935,male
record10,東京都庁,加藤由美,総務部,庶務課,事務員,1935,female
record11,東京都庁,吉田五郎,総務部,人事課,部長,1937,male
record12,東京都庁,山本千代,教育部,図書課,書記,1937,female
record13,東京都庁,松本六郎,建設部,河川課,技師,1938,male
record14,東京都庁,井上節子,福祉部,保健課,保健婦,1938,female
record15,東京都庁,木村七郎,財務部,税務課,主事,1940,male
record16,東京都庁,林幸子,総務部,庶務課,事務員,1940,female
record17,東京都庁,清水八郎,総務部,人事課,課長,1942,male
record18,東京都庁,森静子,教育部,学務課,書記,1942,female
record19,東京都庁,池田九郎,建設部,土木課,技師,1943,male
record20,東京都庁,橋本和子,総務部,文書課,主事,1943,female
record21,東京都庁,阿部十郎,財務部,経理課,主事,1945,male
record22,東京都庁,石川春子,福祉部,児童課,保母,1945,female
record23,東京都庁,前田勇,総務部,人事課,局長,1947,male
record24,東京都庁,藤田夏子,教育部,図書課,事務員,1947,female
record25,東京都庁,後藤誠,建設部,都市課,技師,1948,male
record26,東京都庁,岡田秋子,総務部,庶務課,主事,1948,female
record27,東京都庁,長谷川健,財務部,税務課,部長,1950,male
record28,東京都庁,村上冬子,福祉部,保健課,書記,1950,female
record29,東京都庁,近藤正,総務部,人事課,課長,1952,male
record30,東京都庁,坂本梅子,教育部,学務課,事務員,1952,female
record31,東京都庁,遠藤学,建設部,河川課,技師,1953,male
record32,東京都庁,青木桜子,総務部,文書課,主事,1953,female
record33,東京都庁,藤井武,財務部,経理課,主事,1955,male
record34,東京都庁,三浦菊子,福祉部,児童課,雇員,1955,female
record35,東京都庁,岡本剛,総務部,人事課,部長,1957,male
record36,東京都庁,松田蘭子,教育部,図書課,書記,1957,female
record37,東京都庁,中島隆,建設部,土木課,技師,1958,male
record38,東京都庁,石田竹子,総務部,庶務課,主事,1958,female
record39,東京都庁,小川豊,財務部,税務課,課長,1959,male
record40,東京都庁,田村松子,福祉部,保健課,看護婦,1959,female
